,brands,prices,tier
790,Vans,DDD,['mid']
791,Kris Nations,DDD,['mid']
792,Sandalboyz,DDD,['mid']
793,Karl Kani,DDD,['mid']
794,New Balance,DDD,['mid']
795,J.Crew,DDD,['mid']
796,Seven7,DDD,['mid']
797,Donna Karan,EEE,['mid']
798,Longchamp,EEE,['designer']
799,Nike,EEE,['mid']
800,ELOQUII,DDD,['mid']
801,Nike,DDD,['mid']
802,Karen Kane,DDD,['designer']
803,John Elliott,EEE,['mid']
804,Peacock Alley,DDD,['mid']
805,FILA,EEE,['mid']
806,NYDJ,EEE,['mid']
807,Comme des Garcons,EEE,['designer']
808,Rebecca Minkoff,DDD,['mid']
809,Goutal Paris,EEE,['mid']
810,SFERRA,EEE,['mid']
811,Gucci,EEE,['designer']
812,ISABEL MARANT,DDD,['designer']
813,Nike,EEE,['mid']
814,Agent Provocateur,EEE,['mid']
815,Villa Home Collection,DDD,['mid']
816,Boss Hugo Boss,EEE,['mid']
817,adidas,EEE,['mid']
818,Ewing Athletics,EEE,['mid']
819,Gas Bijoux,EEE,['mid']
820,Supreme,EEE,['designer']
821,Supreme,DDD,['designer']
822,REFORMATION,DDD,['mid']
823,Paul Smith,EEE,['designer']
824,French Connection,EEE,['mid']
825,cupcakes and cashmere,EEE,['mid']
826,Nike,EEE,['mid']
827,Lorenzo Uomo,EEE,['mid']
828,Tommy Hilfiger,DDD,['designer']
829,Nike,DDD,['mid']
830,K-Swiss,DDD,['mid']
831,Gitman Vintage,DDD,['mid']
832,COACH,EEE,['designer']
833,Villeroy & Boch,EEE,['mid']
834,Dsquared2,DDD,['designer']
835,Current/Elliott,EEE,['mid']
836,Bleu Rod Beattie,DDD,['mid']
837,L'Artiste by Spring Step,DDD,['mid']
838,Nike,EEE,['mid']
839,NIC+ZOE,EEE,['mid']
840,Bugatchi,EEE,['mid']
841,BAPE,DDD,['designer']
842,NIC+ZOE,EEE,['mid']
843,Tory Burch,EEE,['designer']
844,rag & bone,DDD,['mid']
845,Whistles,DDD,['mid']
846,Vitamin A,EEE,['mid']
847,Nike,DDD,['mid']
848,Versace,DDD,['designer']
849,Rick Owens,EEE,['designer']
850,Lipault - Paris,DDD,['mid']
851,Emporio Armani,EEE,['mid']
852,Michael Kors,DDD,['designer']
853,Universal Works,DDD,['mid']
854,Lise Charmel,EEE,['mid']
855,Beach Riot,DDD,['mid']
856,CeCe,EEE,['mid']
857,Free People,EEE,['mid']
858,ISABEL MARANT,EEE,['designer']
859,adidas Originals,EEE,['mid']
860,Nike,EEE,['mid']
861,Polo Ralph Lauren,EEE,['mid']
862,Missoma,EEE,['mid']
863,Lancaster,DDD,['mid']
864,Generation Love,EEE,['mid']
865,Roja Parfums,EEE,['mid']
866,Michael Aram,DDD,['mid']
867,Sorrelli,EEE,['mid']
868,ERL,EEE,['mid']
869,Trotters,DDD,['mid']
870,Alpha Industries,EEE,['designer']
871,Puma,DDD,['mid']
872,Supreme,EEE,['designer']
873,Timberland,EEE,['mid']
874,Rebecca Minkoff,DDD,['mid']
875,Nike,EEE,['mid']
876,adidas,EEE,['mid']
877,Invicta,EEE,['mid']
878,Kendra Scott,EEE,['mid']
879,SFERRA,DDD,['mid']
880,Lorenzo Uomo,EEE,['mid']
881,Opening Ceremony,DDD,['mid']
882,SKIN REGIMEN,DDD,['mid']
883,Madewell,EEE,['mid']
884,Melissa,DDD,['mid']
885,adidas Originals,EEE,['mid']
886,Olivia Burton,EEE,['mid']
887,David Donahue,DDD,['mid']
888,RVCA,DDD,['mid']
889,Suicoke,DDD,['mid']
890,Paul Smith,EEE,['designer']
891,J.Crew,EEE,['mid']
892,Boss Hugo Boss,EEE,['mid']
893,Comme des Garcons,EEE,['designer']
894,STATE Bags,DDD,['mid']
895,Karl Lagerfeld,DDD,['designer']
896,Nadri,DDD,['mid']
897,Lanvin,DDD,['designer']
898,Majestic Filatures,DDD,['mid']
899,Kappa,EEE,['mid']
900,Nike,DDD,['mid']
901,Rockport,DDD,['mid']
902,Supreme,DDD,['designer']
903,Represent,EEE,['mid']
904,The North Face,EEE,['mid']
905,Camper,DDD,['mid']
906,adidas,EEE,['mid']
907,Nike,EEE,['mid']
908,Karl Lagerfeld,EEE,['designer']
909,Asics,EEE,['mid']
910,Red Wing,EEE,['mid']
911,Tahari,EEE,['mid']
912,Vince Camuto,EEE,['mid']
913,Balenciaga,EEE,['designer']
914,Diesel,EEE,['mid']
915,Schott NYC,EEE,['mid']
916,Carhartt Work In Progress,EEE,['mid']
917,Lise Charmel,EEE,['mid']
918,Cole Haan,DDD,['mid']
919,Nike,EEE,['mid']
920,7 For All Mankind,EEE,['mid']
921,Burberry,EEE,['designer']
922,The Art of Shaving,EEE,['mid']
923,Ted Baker,DDD,['mid']
924,Begg & Co,EEE,['mid']
925,CaslonR,DDD,['mid']
926,Vans,EEE,['mid']
927,Polo Ralph Lauren,EEE,['mid']
928,Liverpool,DDD,['mid']
929,UGG,DDD,['mid']
930,Joules,DDD,['mid']
931,BAPE,EEE,['designer']
932,Kenneth Cole,EEE,['mid']
933,Tommy Bahama,DDD,['mid']
934,Reiss,EEE,['designer']
935,City Chic,DDD,['mid']
936,Nike,EEE,['mid']
937,Ted Baker,DDD,['mid']
938,Diesel Kids,EEE,['mid']
939,Levi's,EEE,['mid']
940,Mezlan,DDD,['mid']
941,Nadri,EEE,['mid']
942,Nike,EEE,['mid']
943,Jordan,EEE,['mid']
944,Levi's,EEE,['mid']
945,Free People,EEE,['mid']
946,Ermenegildo Zegna,EEE,['designer']
947,MARIA BLACK,DDD,['mid']
948,adidas,EEE,['mid']
949,Cole Haan,EEE,['mid']
950,Nike,EEE,['mid']
951,Alessi,DDD,['mid']
952,adidas,DDD,['mid']
953,Emporio Armani,EEE,['mid']
954,adidas Originals,EEE,['mid']
955,Supreme,DDD,['designer']
956,Free People,EEE,['mid']
957,Reigning Champ,EEE,['mid']
958,Maison Kitsune,EEE,['mid']
959,Brooks,EEE,['mid']
960,Nike,DDD,['mid']
961,Zac Zac Posen,EEE,['mid']
962,Lna,DDD,['mid']
963,Anne Klein,EEE,['mid']
964,Bond No. 9 New York,EEE,['mid']
965,Tommy Bahama,EEE,['mid']
966,Topman,EEE,['fast']
967,Dansko,EEE,['mid']
968,Longchamp,EEE,['designer']
969,The North Face,DDD,['mid']
970,Reebok,EEE,['mid']
971,Givenchy,DDD,['designer']
972,Saucony,EEE,['mid']
973,Sol Angeles,DDD,['mid']
974,Franco Sarto,DDD,['mid']
975,Fred Perry x Raf Simons,DDD,['mid']
976,Timbuk2,EEE,['mid']
977,THE GREAT.,DDD,['mid']
978,Miraclesuit Plus,EEE,['mid']
979,French Connection,EEE,['mid']
980,Fred Perry,DDD,['mid']
981,Pom Pom at Home,EEE,['mid']
982,Karl Lagerfeld,DDD,['designer']
983,Florsheim,DDD,['mid']
984,Madewell,EEE,['mid']
985,Seiko,DDD,['mid']
986,Tommy Bahama,DDD,['mid']
987,Stussy,EEE,['mid']
988,Rockport Cobb Hill,DDD,['mid']
989,Roja Parfums,EEE,['mid']
990,Lauren Ralph Lauren,EEE,['mid']
991,Sam Edelman,DDD,['mid']
992,Casio,EEE,['mid']
993,Nike,EEE,['mid']
994,Kenneth Mink,EEE,['mid']
995,J. Renee,DDD,['mid']
996,Johnny Was,EEE,['mid']
997,Vans,EEE,['mid']
998,Tommy Hilfiger,FFF,['designer']
999,Diesel,EEE,['mid']
1000,Cole Haan,FFF,['mid']
1001,Ray-Ban,FFF,['designer']
1002,Taylor Dresses,EEE,['mid']
1003,Hugo,EEE,['mid']
1004,Reebok,FFF,['mid']
1005,Salvatore Ferragamo,FFF,['designer']
1006,Nike,FFF,['mid']
1007,GOOD AMERICAN,FFF,['mid']
1008,Jonas Studio,FFF,['mid']
1009,Nike,EEE,['mid']
1010,David Donahue,EEE,['mid']
1011,Boss Hugo Boss,EEE,['mid']
1012,ALLSAINTS,FFF,['mid']
1013,Givenchy,FFF,['designer']
1014,Emporio Armani,EEE,['mid']
1015,Ever New,FFF,['mid']
1016,Safavieh,EEE,['designer']
1017,Nike,EEE,['mid']
1018,Endless Rose,FFF,['mid']
1019,COACH,FFF,['designer']
1020,Joe's Jeans,FFF,['mid']
1021,Emporio Armani,FFF,['mid']
1022,Eliza J,EEE,['mid']
1023,Supreme,FFF,['designer']
1024,LOREN STEWART,EEE,['mid']
1025,Puma,FFF,['mid']
1026,Bashian,EEE,['mid']
1027,Stella McCartney,FFF,['designer']
1028,Mini Rodini,EEE,['mid']
1029,Lancaster Paris,EEE,['mid']
1030,Eliza J,EEE,['mid']
1031,Fear of God,FFF,['designer']
1032,Sam Edelman,EEE,['mid']
1033,KENZO,EEE,['mid']
1034,Reed & Barton,FFF,['mid']
1035,Michael Kors,EEE,['designer']
1036,Woolrich,EEE,['designer']
1037,Neil Barrett,FFF,['designer']
1038,Van Cleef & Arpels,FFF,['mid']
1039,7 For All Mankind,EEE,['mid']
1040,BAPE,FFF,['designer']
1041,Maison Kitsune,EEE,['mid']
1042,LNDR,FFF,['mid']
1043,Natori,EEE,['designer']
1044,Reebok,FFF,['mid']
1045,Supreme,FFF,['designer']
1046,Ted Baker,FFF,['mid']
1047,Palace,FFF,['designer']
1048,Anine Bing,EEE,['mid']
1049,Waterworks,EEE,['mid']
1050,J/slides,EEE,['mid']
1051,Armani,EEE,['designer']
1052,Ted Baker,EEE,['mid']
1053,Supreme,EEE,['designer']
1054,Sam Edelman,EEE,['mid']
1055,Sandro Moscoloni,FFF,['mid']
1056,Nike,EEE,['mid']
1057,David Donahue,EEE,['mid']
1058,Dodo,EEE,['mid']
1059,Maggy London,EEE,['mid']
1060,Eileen Fisher,FFF,['mid']
1061,Florence Eiseman,EEE,['mid']
1062,Saturdays NYC,EEE,['mid']
1063,Botkier,EEE,['mid']
1064,Ader Error,FFF,['mid']
1065,Astr The Label,EEE,['mid']
1066,Fendi,EEE,['designer']
1067,adidas,FFF,['mid']
1068,Topshop,CCC,['fast']
1069,Carhartt Work In Progress,EEE,['mid']
1070,Palace,FFF,['designer']
1071,AZ Collection,FFF,['mid']
1072,Colbert Md,EEE,['mid']
1073,Topshop,DDD,['fast']
1074,Orciani,EEE,['mid']
1075,Ragdoll,EEE,['mid']
1076,FILA,EEE,['mid']
1077,CeCe,EEE,['mid']
1078,Mvmt,EEE,['mid']
1079,Boss Hugo Boss,EEE,['mid']
1080,Moschino,EEE,['designer']
1081,Karen Millen,EEE,['mid']
1082,Morgan & Co.,EEE,['mid']
1083,Supreme,FFF,['designer']
1084,Calvin Klein Jeans,EEE,['mid']
1085,Nike,FFF,['mid']
1086,Fleur du Mal,EEE,['designer']
1087,Takashi Murakami,EEE,['mid']
1088,Saskia Diez,FFF,['mid']
1089,Lilly PulitzerR,EEE,['mid']
1090,Save The Duck,EEE,['mid']
1091,Mara Hoffman,EEE,['mid']
1092,Nike,EEE,['mid']
1093,BAPE,EEE,['designer']
1094,GOOD AMERICAN,FFF,['mid']
1095,Tommy Bahama,EEE,['mid']
1096,Underprotection,EEE,['mid']
1097,Free People,EEE,['mid']
1098,Hanro,EEE,['mid']
1099,Donna Karan,EEE,['mid']
1100,Puma,FFF,['mid']
1101,Enzo Angiolini,EEE,['mid']
1102,Puma,EEE,['mid']
1103,Volcom,EEE,['mid']
1104,ONO,EEE,['mid']
1105,Botkier,FFF,['mid']
1106,Jordan,FFF,['mid']
1107,Nest Fragrances,EEE,['mid']
1108,Supreme,EEE,['designer']
1109,Boss Hugo Boss,EEE,['mid']
1110,Heron Preston,FFF,['mid']
1111,Mara Hoffman,EEE,['mid']
1112,Under Armour,FFF,['mid']
1113,Tory Burch,EEE,['designer']
1114,A.P.C.,EEE,['designer']
1115,NIC+ZOE,EEE,['mid']
1116,Krups,EEE,['mid']
1117,Matouk,EEE,['designer']
1118,Maceoo,EEE,['mid']
1119,Sam Edelman,EEE,['mid']
1120,SFERRA,EEE,['mid']
1121,Tommy Jeans,EEE,['mid']
1122,Supreme,FFF,['designer']
1123,NIC+ZOE,EEE,['mid']
1124,Nike,FFF,['mid']
1125,Maison Kitsune,FFF,['mid']
1126,Penhaligon's,EEE,['mid']
1127,Emporio Armani,FFF,['mid']
1128,Zwilling J.a. Henckels,EEE,['mid']
1129,Rebecca Minkoff,FFF,['mid']
1130,Aubade Paris,EEE,['mid']
1131,Puma,EEE,['mid']
1132,Kith,FFF,['mid']
1133,Michael Stars,EEE,['mid']
1134,BCBG,EEE,['mid']
1135,ROSSIGNOL,FFF,['mid']
1136,Roberto Cavalli,EEE,['designer']
1137,Roberto Cavalli,EEE,['designer']
1138,Pom Pom at Home,EEE,['mid']
1139,adidas,EEE,['mid']
1140,Sanctuary,EEE,['mid']
1141,Stone Island,EEE,['mid']
1142,adidas,EEE,['mid']
1143,Milly Minis,FFF,['mid']
1144,Cold Picnic,EEE,['mid']
1145,Orlebar Brown,FFF,['mid']
1146,Norma Kamali,EEE,['mid']
1147,Michael Aram,FFF,['mid']
1148,COACH,FFF,['designer']
1149,New Balance,EEE,['mid']
1150,BCBG,EEE,['mid']
1151,Rails,EEE,['mid']
1152,Opening Ceremony,FFF,['mid']
1153,CC Corso Como,EEE,['mid']
1154,Nike,EEE,['mid']
1155,Maree Pour Toi,EEE,['mid']
1156,Northskull,FFF,['mid']
1157,Aqua,EEE,['mid']
1158,Supreme,EEE,['designer']
1159,Ray-Ban,FFF,['designer']
1160,Jiwinaia,EEE,['mid']
1161,Geox,EEE,['mid']
1162,Bonpoint,EEE,['mid']
1163,Sam Edelman,EEE,['mid']
1164,Johnston & Murphy,FFF,['mid']
1165,BAPE,EEE,['designer']
1166,Hestra,FFF,['mid']
1167,Andre Assous,EEE,['mid']
1168,Off-White,FFF,['designer']
1169,Jessica Simpson,FFF,['mid']
1170,J Brand,EEE,['mid']
1171,LHD,FFF,['mid']
1172,Orciani,EEE,['mid']
1173,Tous,EEE,['mid']
1174,OVADIA & SONS,EEE,['mid']
1175,John Varvatos,EEE,['designer']
1176,Boden,FFF,['mid']
1177,Travelpro,EEE,['mid']
1178,Asics,EEE,['mid']
1179,Nike,FFF,['mid']
1180,Rockport,EEE,['mid']
1181,Closed,FFF,['mid']
1182,Estelle,EEE,['mid']
1183,BAPE,FFF,['designer']
1184,All-Clad,FFF,['mid']
1185,KENZO,EEE,['mid']
1186,Nike,EEE,['mid']
1187,Bugatchi,EEE,['mid']
1188,NIC+ZOE,EEE,['mid']
1189,Salvatore Ferragamo,FFF,['designer']
1190,Sarto by Franco Sarto,EEE,['mid']
1191,Fendi,EEE,['designer']
1192,7 For All Mankind,FFF,['mid']
1193,UGG,EEE,['mid']
1194,Asics,EEE,['mid']
1195,Nike,EEE,['mid']
1196,adidas,GGG,['mid']
1197,Michael Kors,GGG,['designer']
1198,Acqua di Parma,FFF,['mid']
1199,Mcq Alexander Mcqueen,FFF,['designer']
1200,Mcq Alexander Mcqueen,FFF,['designer']
1201,Eliza J,FFF,['mid']
1202,Laundry by Shelli Segal,FFF,['mid']
1203,Armani Exchange,FFF,['mid']
1204,KENZO,GGG,['mid']
1205,Il Gufo,FFF,['mid']
1206,Palace,FFF,['designer']
1207,42 GOLD,GGG,['mid']
1208,Bulova,FFF,['mid']
1209,Jeff,GGG,['mid']
1210,Off-White,GGG,['designer']
1211,Supreme,GGG,['designer']
1212,Nike,FFF,['mid']
1213,Supreme,GGG,['designer']
1214,Chan Luu,FFF,['mid']
1215,Palace,GGG,['designer']
1216,A.L.C.,FFF,['mid']
1217,3x1,FFF,['mid']
1218,Pelle Moda,FFF,['mid']
1219,Z Zegna,FFF,['mid']
1220,Oliver Gal,FFF,['mid']
1221,BCBG,FFF,['mid']
1222,Alex Evenings,FFF,['mid']
1223,Supreme,FFF,['designer']
1224,Roberto Collina,GGG,['designer']
1225,Moschino,FFF,['designer']
1226,MARIA BLACK,FFF,['mid']
1227,iCanvas,GGG,['mid']
1228,Ray-Ban,FFF,['designer']
1229,Diesel,FFF,['mid']
1230,Ted Baker,GGG,['mid']
1231,Paul Smith,GGG,['designer']
1232,Creed,GGG,['mid']
1233,Modway,FFF,['mid']
1234,David Tate,FFF,['mid']
1235,Todd Snyder,FFF,['mid']
1236,Rebecca Minkoff,FFF,['mid']
1237,Kith,GGG,['mid']
1238,Ann Demeulemeester,GGG,['designer']
1239,Boss Hugo Boss,FFF,['mid']
1240,DL,GGG,['mid']
1241,Nike,GGG,['mid']
1242,Bloomingdale's,GGG,['mid']
1243,Marc Joseph,GGG,['mid']
1244,n:PHILANTHROPY,FFF,['mid']
1245,Natori,FFF,['designer']
1246,Ancient Greek Sandals,FFF,['mid']
1247,Kate Spade New York,GGG,['designer']
1248,Nourison,FFF,['designer']
1249,Undercover,FFF,['mid']
1250,Heron Preston,FFF,['mid']
1251,adidas,FFF,['mid']
1252,Young Versace,FFF,['mid']
1253,Red Carter,GGG,['mid']
1254,Supreme,FFF,['designer']
1255,Natori,GGG,['designer']
1256,Supreme,FFF,['designer']
1257,Tommy Hilfiger,FFF,['designer']
1258,Kith,GGG,['mid']
1259,adidas,FFF,['mid']
1260,Soulland,GGG,['mid']
1261,Finders Keepers,FFF,['mid']
1262,adidas,GGG,['mid']
1263,Ray-Ban,GGG,['designer']
1264,Diesel,FFF,['mid']
1265,Michael Kors,FFF,['designer']
1266,Paul Smith,FFF,['designer']
1267,Orlebar Brown,FFF,['mid']
1268,Whistles,FFF,['mid']
1269,Hudson Park Collection,FFF,['mid']
1270,Onia,FFF,['designer']
1271,Berle,FFF,['mid']
1272,Asics,FFF,['mid']
1273,Theory,FFF,['mid']
1274,NEUW,GGG,['mid']
1275,Mara Hoffman,FFF,['mid']
1276,Michael Kors,GGG,['designer']
1277,Lafonn,GGG,['mid']
1278,Supreme,FFF,['designer']
1279,NIC+ZOE,GGG,['mid']
1280,Robert Graham,GGG,['mid']
1281,Heidi Klein,GGG,['mid']
1282,Camper,FFF,['mid']
1283,adidas,GGG,['mid']
1284,Nike,FFF,['mid']
1285,Reiss,GGG,['designer']
1286,The Lazy Poet,GGG,['mid']
1287,Off-White,GGG,['designer']
1288,City Chic,GGG,['mid']
1289,Ancient Greek Sandals,GGG,['mid']
1290,Supreme,FFF,['designer']
1291,Borrelli,FFF,['mid']
1292,Tommy Hilfiger,FFF,['designer']
1293,Palace,GGG,['designer']
1294,Polo Ralph Lauren,FFF,['mid']
1295,Palace,GGG,['designer']
1296,Jared Lang,FFF,['mid']
1297,Ag,FFF,['mid']
1298,Supreme,FFF,['designer']
1299,La Perla,FFF,['mid']
1300,OAMC,FFF,['mid']
1301,Ag,FFF,['mid']
1302,adidas,FFF,['mid']
1303,Suboo,FFF,['mid']
1304,Nike,FFF,['mid']
1305,GOOD AMERICAN,FFF,['mid']
1306,Supreme,GGG,['designer']
1307,Patrizia Pepe,FFF,['mid']
1308,Lacoste,FFF,['designer']
1309,rag & bone,FFF,['mid']
1310,Emilio Pucci,FFF,['designer']
1311,GR10K,FFF,['mid']
1312,BAPE,FFF,['designer']
1313,Vans,FFF,['mid']
1314,Ag,GGG,['mid']
1315,Supreme,FFF,['designer']
1316,Emporio Armani,GGG,['mid']
1317,Naot,FFF,['mid']
1318,American Home Fashion,GGG,['mid']
1319,DL,GGG,['mid']
1320,Nourison,FFF,['designer']
1321,Dsquared2,FFF,['designer']
1322,UGG,FFF,['mid']
1323,Emilio Pucci,FFF,['designer']
1324,Lauren Ralph Lauren,GGG,['mid']
1325,adidas,FFF,['mid']
1326,Z Zegna,FFF,['mid']
1327,STUDIOSOPHIASOPHIA,FFF,['mid']
1328,AZ Collection,FFF,['mid']
1329,Vince,FFF,['mid']
1330,Botkier,GGG,['mid']
1331,Christofle,GGG,['mid']
1332,Iceberg,FFF,['designer']
1333,White Sand,FFF,['mid']
1334,Ted Baker,GGG,['mid']
1335,Georg Jensen,FFF,['designer']
1336,Topps,FFF,['mid']
1337,Jordan,FFF,['mid']
1338,Akola,FFF,['mid']
1339,Maison Kitsune,FFF,['mid']
1340,Boyish Jeans,FFF,['mid']
1341,Polo Ralph Lauren,FFF,['mid']
1342,American Home Fashion,GGG,['mid']
1343,Supreme,GGG,['designer']
1344,Velvet,FFF,['mid']
1345,Perfect Moment,GGG,['mid']
1346,Burberry,GGG,['designer']
1347,Closed,FFF,['mid']
1348,Agolde,GGG,['mid']
1349,David Donahue,FFF,['mid']
1350,adidas,FFF,['mid']
1351,Nike,FFF,['mid']
1352,Reiss,GGG,['designer']
1353,Champion,FFF,['mid']
1354,Desmond & Dempsey,GGG,['mid']
1355,Eastpak,GGG,['mid']
1356,Matouk,FFF,['designer']
1357,Reiss,FFF,['designer']
1358,Ted Baker,FFF,['mid']
1359,Ancient Greek Sandals,FFF,['mid']
1360,Loreak Mendian,GGG,['mid']
1361,rag & bone,GGG,['mid']
1362,Kiki de Montparnasse,FFF,['designer']
1363,Tory Sport,FFF,['mid']
1364,Lenox,FFF,['mid']
1365,Nike,GGG,['mid']
1366,adidas,FFF,['mid']
1367,Eileen Fisher,GGG,['mid']
1368,Whistles,GGG,['mid']
1369,ALLSAINTS,FFF,['mid']
1370,Panini,FFF,['mid']
1371,Gal Meets Glam Collection,FFF,['mid']
1372,RACHEL Rachel Roy,FFF,['mid']
1373,Ralph Lauren,GGG,['designer']
1374,Michael Kors,GGG,['designer']
1375,Dondup,GGG,['mid']
1376,Reiss,GGG,['designer']
1377,Nike,FFF,['mid']
1378,Emporio Armani,FFF,['mid']
1379,Levkoff,FFF,['mid']
1380,Ray-Ban,FFF,['designer']
1381,adidas,FFF,['mid']
1382,Emporio Armani,FFF,['mid']
1383,Kurt Geiger,FFF,['mid']
1384,Ash,GGG,['mid']
1385,Versace,FFF,['designer']
1386,John Robshaw,FFF,['mid']
1387,Nike,FFF,['mid']
1388,Michael Aram,FFF,['mid']
1389,COACH,FFF,['designer']
1390,Diesel,FFF,['mid']
1391,Ray-Ban,FFF,['designer']
1392,Andre Assous,GGG,['mid']
1393,Eytys,FFF,['mid']
1394,Le Gali,GGG,['mid']
1395,Nike,GGG,['mid']
1396,Nylora,GGG,['mid']
1397,Ray-Ban,GGG,['designer']
1398,Emporio Armani,HHH,['mid']
1399,Ralph Lauren,HHH,['designer']
1400,Nike,GGG,['mid']
1401,Elie Tahari,GGG,['mid']
1402,Paige,GGG,['mid']
1403,L'AGENCE,GGG,['mid']
1404,Paige,HHH,['mid']
1405,Robert Barakett,GGG,['mid']
1406,Diadora,HHH,['mid']
1407,KENZO,GGG,['mid']
1408,BCBG,GGG,['mid']
1409,Diesel,GGG,['mid']
1410,John Hardy,GGG,['mid']
1411,MARC JACOBS,HHH,['designer']
1412,The Kooples,HHH,['mid']
1413,Ippolita,GGG,['mid']
1414,Ray-Ban,HHH,['designer']
1415,ALLSAINTS,GGG,['mid']
1416,David Tate,HHH,['mid']
1417,Dean Davidson,GGG,['mid']
1418,Kenneth Cole,HHH,['mid']
1419,adidas,GGG,['mid']
1420,Fabiana Filippi,HHH,['mid']
1421,Eastern Accents,GGG,['mid']
1422,Karl Lagerfeld,HHH,['designer']
1423,Reiss,HHH,['designer']
1424,maje,HHH,['mid']
1425,Givenchy,HHH,['designer']
1426,Bonpoint,GGG,['mid']
1427,Reiss,GGG,['designer']
1428,Fleur du Mal,GGG,['designer']
1429,Nannacay,GGG,['mid']
1430,Diesel,GGG,['mid']
1431,Forzieri,HHH,['mid']
1432,Gucci,HHH,['designer']
1433,Villeroy & Boch,HHH,['mid']
1434,Jiwinaia,GGG,['mid']
1435,Icebreaker,GGG,['mid']
1436,Quantum Courage,HHH,['mid']
1437,Seletti,HHH,['mid']
1438,Nike,HHH,['mid']
1439,William Yeoward,GGG,['mid']
1440,Polo Ralph Lauren,GGG,['mid']
1441,KENZO,HHH,['mid']
1442,Alex Evenings,GGG,['mid']
1443,Dolce & Gabbana,GGG,['designer']
1444,Citizens of Humanity,GGG,['mid']
1445,Current/Elliott,GGG,['mid']
1446,Ralph Lauren Home,GGG,['mid']
1447,Jordan,GGG,['mid']
1448,Rebecca Minkoff,GGG,['mid']
1449,Love Moschino,HHH,['mid']
1450,BCBG,GGG,['mid']
1451,MONICA RICH KOSANN,HHH,['mid']
1452,Dalyn Rug Company,GGG,['mid']
1453,Mother,GGG,['mid']
1454,Loewe,HHH,['designer']
1455,Bernardo,GGG,['mid']
1456,Paul Smith,GGG,['designer']
1457,Supreme,HHH,['designer']
1458,Marchesa Notte,HHH,['mid']
1459,BAPE,HHH,['designer']
1460,Gucci,GGG,['designer']
1461,Gas Bijoux,GGG,['mid']
1462,Alexander Wang,HHH,['designer']
1463,Alexander Wang,HHH,['designer']
1464,Fleur du Mal,GGG,['designer']
1465,Paul Smith,GGG,['designer']
1466,Boss Hugo Boss,HHH,['mid']
1467,Illesteva,HHH,['mid']
1468,Cole Haan,GGG,['mid']
1469,Versace,HHH,['designer']
1470,LoveShackFancy,HHH,['mid']
1471,Emporio Armani,HHH,['mid']
1472,Aspesi,HHH,['mid']
1473,Reigning Champ,HHH,['mid']
1474,Pierre Hardy,GGG,['mid']
1475,Nudie Jeans,HHH,['mid']
1476,Flower Mountain,GGG,['mid']
1477,Imagine by Vince Camuto,GGG,['mid']
1478,Veronica Beard,GGG,['mid']
1479,Michael Kors,HHH,['designer']
1480,Tommy Hilfiger,GGG,['designer']
1481,Robert Barakett,GGG,['mid']
1482,Supreme,HHH,['designer']
1483,Natasha Zinko,HHH,['designer']
1484,Jordan,GGG,['mid']
1485,Mcq Alexander Mcqueen,GGG,['designer']
1486,Mcq Alexander Mcqueen,GGG,['designer']
1487,Jarlo,HHH,['mid']
1488,Salvatore Ferragamo,GGG,['designer']
1489,Polo Ralph Lauren,GGG,['mid']
1490,rag & bone,HHH,['mid']
1491,RtA,HHH,['mid']
1492,Calvin Klein 205W39NYC,GGG,['mid']
1493,Ralph Lauren,HHH,['designer']
1494,Badgley Mischka,GGG,['designer']
1495,Senso,GGG,['mid']
1496,Antony Morato,GGG,['mid']
1497,Patrizia Pepe,GGG,['mid']
1498,Kiton,GGG,['designer']
1499,Jack Mason,HHH,['mid']
1500,Frame,GGG,['mid']
1501,Reiss,GGG,['designer']
1502,Alexander McQueen,HHH,['designer']
1503,Alexander McQueen,HHH,['designer']
1504,Boss Hugo Boss,GGG,['mid']
1505,Solid & Striped,HHH,['mid']
1506,Palace,GGG,['designer']
1507,Loeffler Randall,HHH,['mid']
1508,Dunhill,HHH,['mid']
1509,Natasha Zinko,GGG,['designer']
1510,Post-imperial,HHH,['mid']
1511,Birkenstock,HHH,['mid']
1512,SFERRA,HHH,['mid']
1513,Mignonne Gavigan,HHH,['mid']
1514,Fleur du Mal,GGG,['designer']
1515,Michael Kors,HHH,['designer']
1516,Visconti,HHH,['mid']
1517,Reiss,HHH,['designer']
1518,rag & bone,GGG,['mid']
1519,Solid & Striped,HHH,['mid']
1520,Roberto Collina,HHH,['designer']
1521,Cole Haan,GGG,['mid']
1522,Topman,GGG,['fast']
1523,rag & bone,HHH,['mid']
1524,Show Me Your Mumu,HHH,['mid']
1525,Herend,HHH,['mid']
1526,Labrazel,HHH,['mid']
1527,SFERRA,GGG,['mid']
1528,Ancient Greek Sandals,HHH,['mid']
1529,Topman,DDD,['fast']
1530,Cole Haan,HHH,['mid']
1531,Eileen Fisher,GGG,['mid']
1532,Maison Kitsune,GGG,['mid']
1533,Ermenegildo Zegna,GGG,['designer']
1534,Anke Drechsel,HHH,['mid']
1535,Fornasetti,GGG,['mid']
1536,A.P.C.,HHH,['designer']
1537,Nike,GGG,['mid']
1538,Apparis,HHH,['mid']
1539,Kith,HHH,['mid']
1540,IRO,HHH,['mid']
1541,Apparis,HHH,['mid']
1542,Waterford,GGG,['mid']
1543,Karl Lagerfeld,HHH,['designer']
1544,Aqua,GGG,['mid']
