Saint Laurent,"Yves Saint Laurent Beaute La Nuit De L'Homme L'Intense Eau de Parfum, 2.0 oz./ 60 mL DetailsSeduction takes on a new shade with La Nuit De L'Homme L'Intense by Yves Saint Laurent, a new fragrance for men. The ultimate sophistication, housed in a bottle which combines the red intensity of seduction with the elegant black of night. Sage and violet are blended with a vertiginous blast of iris concrete, combined with the Oriental signature of the original La Nuit De L'Homme; vanilla, patchouli an.",Bergdorf Goodman,"La Nuit De L'Homme L'Intense Eau de Parfum, 2.0 oz./ 60 mL",80,"La Nuit De L'Homme L'Intense Eau de Parfum, 2.0 oz./ 60 mL",,"{women_all,women_clothing,women_activewear}",,,,, Yves Saint Laurent
Etro,Blue cotton striped paisley socks from Etro featuring a paisley pattern and a striped pattern. Socks and Hosiery must be returned in its original unopened packaging.,Farfetch,Etro - striped paisley socks - men - Cotton/Polyamide - I - Blue,75,Etro - striped paisley socks - men - Cotton/Polyamide - I - Blue,75,"{men_clothing,men_all,men_intimates}",,,,, Etro
Tommy Hilfiger,Vibrant piping brings eye-catching contrast to this cozy sweater made from soft cotton. Style Name: Tommy Hilfiger Crewneck Sweater. Style Number: 5866145. Available in stores.,NORDSTROM,Women's Tommy Hilfiger Crewneck Sweater,69,Women's Tommy Hilfiger Crewneck Sweater,69,"{women_clothing,women_all,women_sweater}",,,,, Tommy Hilfiger
Longchamp,"Transport all your shaving gear and other critical toiletries in this waterproof travel kit from Longchamp, a measured design to enable your finest presentation on trips abroad.",Bloomingdale's,Longchamp Boxford Toiletry Kit,85,Longchamp Boxford Toiletry Kit,,"{men_luggage,men_bag,men_all,women_luggage,women_bag,women_all,luggage}",,,,, Longchamp
Joseph A Plus,Joseph A Plus Tiered Open Cardigan-Women-Plus~SHOP BY SIZE RANGE,Bloomingdale's,Joseph A Plus Tiered Open Cardigan,88,Joseph A Plus Tiered Open Cardigan,26.33,"{women_clothing,women_all,women_sweater}",,,,, Joseph
Calvin Klein,"Red cotton logo T-shirt from Calvin Klein featuring a ribbed crew neck, a graphic print, short sleeves and a straight hem.",Farfetch,"Calvin Klein - logo T-shirt - men - Cotton - M, XL, XXL, L - Red",76,"Calvin Klein - logo T-shirt - men - Cotton - M, XL, XXL, L - Red",65,"{men_clothing,men_all,men_tops}",,,,, Calvin Klein
Charles Jeffrey Loverboy,Navy blue and off-white cotton blend Loverboy socks from Charles Jeffrey Loverboy featuring a striped pattern.,Farfetch,Charles Jeffrey Loverboy - Loverboy socks - men - Rubber/Nylon/Cotton/Spandex/Elastane - One Size - Black,75,Charles Jeffrey Loverboy - Loverboy socks - men - Rubber/Nylon/Cotton/Spandex/Elastane - One Size - Black,75,"{men_clothing,men_all,men_intimates}",,,,, Off-White
Paul Smith,"Dark blue organic cotton Monkey Astronaut print T-shirt from PS Paul Smith featuring a jersey knit, a straight hem, a graphic print and short sleeves. POSITIVELY CONSCIOUS: We’ve joined forces with ethical agency Good On You to give you the power to choose positively. This piece is from a brand that scores well on their key criteria.",Farfetch,"PS Paul Smith - Monkey Astronaut print T-shirt - men - Organic Cotton - S, M, L, XL - Blue",75,"PS Paul Smith - Monkey Astronaut print T-shirt - men - Organic Cotton - S, M, L, XL - Blue",75,,,,,, Paul Smith
Supreme,"It is okay to be an avid collector, just as long as it doesn’t get you in debt or take over your home. Thankfully this light blue camp cap from Supreme won’t send you into a spiralling downfall, it will only lift you up. Collect them all.  a stiff brim, a front logo patch and an adjustable fastening.",Farfetch,Supreme - snap button camp cap - men - Cotton - One Size - TEAL,109,Supreme - snap button camp cap - men - Cotton - One Size - TEAL,109,,,,,, Supreme
Dior,"Introducing Dior Homme Eau for Men, a fresh woody fragrance with a masculine and sophisticated signature. Bold and refined, magnetic and charismatic, Dior Homme Eau for Men was created for the man with 1,000 lives to live. His mantra is James Dean's iconic quote: Dream as if you'll live forever. Live as if you'll die today. The new Eau for Men opens with top notes of Moroccan Grapefruit and Calabrian Bergamot blended with a spicy aromatic Crimean Coriander. The heart of the fragrance unfolds wit",Bergdorf Goodman,Dior Homme Eau For Men Eau De Toilette,95,Dior Homme Eau For Men Eau De Toilette,95,"{men_pouch,men_all,men_bag}",,,,, Dior
Polo Ralph Lauren,Polo Ralph Lauren The Earth Polo Custom Slim Fit Polo Shirt-Men,Bloomingdale's,Polo Ralph Lauren The Earth Polo Custom Slim Fit Polo Shirt,89.5,Polo Ralph Lauren The Earth Polo Custom Slim Fit Polo Shirt,,"{men_clothing,men_all,men_polo}",,,,, Ralph Lauren
Alexis Bittar,Woodgrain texture brings distinctive plays of light and movement to elegant Lucite hoop earrings fitted with pyramid-back posts. Style Name: Alexis Bittar Small Thin Hoop Earrings. Style Number: 5816578. Available in stores.,NORDSTROM,Women's Alexis Bittar Small Thin Hoop Earrings,95,Women's Alexis Bittar Small Thin Hoop Earrings,95,"{women_earrings,women_all,women_accessory}",,,,, Alexis
Ralph Lauren,Lauren Ralph Lauren Sequin-Sleeve Tee-Women,Bloomingdale's,Lauren Ralph Lauren Sequin-Sleeve Tee,89.5,Lauren Ralph Lauren Sequin-Sleeve Tee,,"{women_all,women_clothing,women_tops}",,,,, Ralph Lauren
Supreme,Supreme Thrasher Boyfriend Tee Pea Green,StockX,Supreme Thrasher Boyfriend Tee Pea Green,100,Supreme Thrasher Boyfriend Tee Pea Green,,"{men_clothing,men_all,men_tops}",,,,, Supreme
Barbour,Sharp gingham checks touch up a versatile sport shirt cut from stretchy cotton and fitted with a smart button-down collar. Style Name: Barbour Tailored Fit Gingham Check Button-Down Shirt. Style Number: 5908749 1. Available in stores.,NORDSTROM,Men's Barbour Tailored Fit Gingham Check Button-Down Shirt,99,Men's Barbour Tailored Fit Gingham Check Button-Down Shirt,49.5,"{men_clothing,men_all,men_shirts}",,,,, Barbour
Matouk,"Crisp, luxurious cotton percale bedding by Matouk. This pillowcase is accented with a lustrous sateen ribbon at the cuff.",Bloomingdale's,"Matouk Lowell Pillowcase, King",108,"Matouk Lowell Pillowcase, King",,"{women bracelets,men hats}",,,,, Matouk
Karl Lagerfeld,"Black cotton Karl X Olivia Profile T-shirt from Karl Lagerfeld featuring a round neck, short sleeves, rhinestone embellishments, a printed logo to the rear and a straight hem.",Farfetch,"Karl Lagerfeld - Karl X Olivia Profile T-shirt - women - Cotton - S, XS, M, L, XL - Black",105,"Karl Lagerfeld - Karl X Olivia Profile T-shirt - women - Cotton - S, XS, M, L, XL - Black",74,,,,,, Karl Lagerfeld
