brand,info,retailer,name,price,unbranded_name,sale_price,categories,tier,,,
Nom Maternity,"Bump flattering and versatile, this tee is cut from soft stretch jersey and fashioned with snaps at the placket for easy, discreet nursing. Style Name: Nom Maternity Snap Placket Maternity/nursing Tee. Style Number: 5584540. Available in stores.",Bloomingdale's,Nom Maternity Snap-Front Tee,68,Nom Maternity Snap-Front Tee,40.8,"{women_all,women_clothing,women_tops}",,,,
Nina,An elegant bow decorates the pointy toe of a chic pump fashioned from lustrous satin and mesh and lifted just right by a delicate kitten heel. A cushioned footbed adds dance-all-night comfort. Style Name: Nina Bianca Pointy Toe Pump (Women). Style Number: 5237394 1. Available in stores.,NORDSTROM,Women's Nina Bianca Pointy Toe Pump,88.95,Women's Nina Bianca Pointy Toe Pump,53.37,"{women_shoe,women_all,women_pumps}",,,,
Maceoo,"A handsome, fitted T-shirt made from luxe Egyptian mercerized cotton gets a refined update with a textured knit and button-tab folded cuffs. Style Name: Maceoo Vivaldi V-Neck T-Shirt. Style Number: 5814844. Available in stores.",NORDSTROM,Men's Maceoo Vivaldi V-Neck T-Shirt,78,Men's Maceoo Vivaldi V-Neck T-Shirt,46.8,"{men_clothing,men_all,men_shirts}",,,,
Aqua,Aqua Textured Turtleneck Poncho - 100% Exclusive-Jewelry & Accessories,Bloomingdale's,Aqua Textured Turtleneck Poncho - 100% Exclusive,88,Aqua Textured Turtleneck Poncho - 100% Exclusive,,"{women_clothing,women_all,women_sweater}",,,,
French Connection,French Connection Floral Patchwork Button-Down Shirt-Women,Bloomingdale's,French Connection Floral Patchwork Button-Down Shirt,78,French Connection Floral Patchwork Button-Down Shirt,54.6,"{women_clothing,women_all,women_tops}",,,,
Stowaway Collection,Cozy up in this stretch-ribbed sweater that skims your baby bump and has snaps down the shoulder for easy and discreet nursing. Style Name: Stowaway Collection Maternity/nursing Sweater. Style Number: 5774679. Available in stores.,NORDSTROM,Women's Stowaway Collection Maternity/nursing Sweater,85,Women's Stowaway Collection Maternity/nursing Sweater,85,"{women_clothing,women_all,women_sweater}",,,,
Kendra Scott,Kendra Scott Elora Loop Drop Earrings-Jewelry & Accessories,Bloomingdale's,Kendra Scott Elora Loop Drop Earrings,85,Kendra Scott Elora Loop Drop Earrings,,{women earrings},,,,
Argento Vivo,Argento Vivo Linear Circle Mother-of-Pearl Drop Earrings in 18K Gold-Plated Sterling Silver-Jewelry & Accessories,Bloomingdale's,Argento Vivo Linear Circle Mother-of-Pearl Drop Earrings in 18K Gold-Plated Sterling Silver,88,Argento Vivo Linear Circle Mother-of-Pearl Drop Earrings in 18K Gold-Plated Sterling Silver,,"{women_accessory,women_all,women_earrings}",,,,
Surya,"Surya Topkapi 21809 Area Rug, 2' x 3'-Home",Bloomingdale's,"Surya Topkapi 21809 Area Rug, 2' x 3'",87,"Surya Topkapi 21809 Area Rug, 2' x 3'",65.25,"{men_clothing,men_swimwear,women_clothing,women_all,women_activewear,men_all}",,,,
Adina's Jewels,Sparkling stones illuminate the feline silhouettes of these glamorous stud earrings. Style Name: Adina'S Jewels Panther Stud Earrings. Style Number: 5914166. Available in stores.,NORDSTROM,Women's Adina'S Jewels Panther Stud Earrings,72,Women's Adina'S Jewels Panther Stud Earrings,72,"{women_accessory,women_all,women_earrings}",,,,
Jordan,"Debuting back in the 1996 NBA Playoffs; the Retro Air Jordan XI ""Bred"" is one of MJ's most iconic basketball sneakers of all-time. Since Michael Jordan first laced them on his feet; the colorway has been re-released in 2001; 2008 (as a part of the Countdown Pack); and in 2012. The patent leather cut on the upper exemplifies luxury while the translucent outsole makes these sneakers really pop with every step. If you haven't gotten a pair yet; now is your chance to look and play like the greatest basketball player of all-time. Synthetic leather in the upper provides durable support and comfort. Padded tongue and collar offers optimal comfort. Carbon fiber shank enhances rigidity and support. Full-length Air-Sole unit delivers lightweight cushioning. Solid rubber on the outsole provides durability and traction on a variety of surfaces.",KICKSUSA,"Jordan - Toddler Retro Air Jordan 11 ""Bred"" (Black True Red White)",70,"Jordan - Toddler Retro Air Jordan 11 ""Bred"" (Black True Red White)",,"{men_shoe,men_all,men_sneakers}",,,,
Nike,"Supplied by a premier sneaker marketplace dealing with unworn, already sold out, in demand rarities. Each product is rigorously inspected by experienced experts guaranteeing authenticity. Bringing a touch of class to a skating staple, this iteration of Nike's Zoom Janoski is constructed with a highly-durable woven leather upper, in a low-cut, slip-on design. Sitting on a sticky rubber outsole, the model provides unwavering traction to the surface, complete with Zoom Air tech in the midsole for lightweight, responsive cushioning.",Farfetch,"Nike - Zoom Stefan Janoski Slip RM sneakers - unisex - Rubber/Leather/Nylon - 7.5, 8, 8.5, 9, 10, 10.5, 11, 11.5, 12, 13 - Black",79,"Nike - Zoom Stefan Janoski Slip RM sneakers - unisex - Rubber/Leather/Nylon - 7.5, 8, 8.5, 9, 10, 10.5, 11, 11.5, 12, 13 - Black",79,"{men_shoe,men_all,men_sneakers}",,,,
Carhartt Work In Progress,A loose-fitting long-sleeve jersey T-shirt features finer stripes in front and down the sleeves with wide stripes backing the durable double-take design. Style Name: Carhartt Work In Progress Barkley Stripe Pocket T-Shirt. Style Number: 5818766. Available in stores.,NORDSTROM,Men's Carhartt Work In Progress Barkley Stripe Pocket T-Shirt,68,Men's Carhartt Work In Progress Barkley Stripe Pocket T-Shirt,40.8,"{men_clothing,men_all,men_tops}",,,,
Champion,Show off supreme athletic style with Champion's Super Fleece 2.0 Behind The Label Crew. 80% cotton/20% polyester. Imported. Champion Super Fleece 2.0 Behind The Label Crew Sweatshirt - Surf The Web.,Champs Sports,Champion Super Fleece 2.0 Behind The Label Crew Sweatshirt - White,70,Champion Super Fleece 2.0 Behind The Label Crew Sweatshirt - White,54.99,"{men_clothing,men_all,men_sweatshirts}",,,,
Nadri,"Nadri Large Oval Locket Pendant Necklace, 33-Jewelry & Accessories",Bloomingdale's,"Nadri Large Oval Locket Pendant Necklace, 33",80,"Nadri Large Oval Locket Pendant Necklace, 33",56,"{women_accessory,women_all,women_necklaces}",,,,
Kappa Kontroll,"White cotton logo printed T-shirt from KAPPA KONTROLL featuring a round neck with welt finishing, a print to the front, a relaxed fit, a straight hem and short sleeves.",Farfetch,"Kappa Kontroll - logo printed T-shirt - men - Cotton - S, L, XL, M - White",84,"Kappa Kontroll - logo printed T-shirt - men - Cotton - S, L, XL, M - White",59,"{men_clothing,men_all,men_tops}",,,,
Vitamin A,"Vitamin A ""Neutra"" hipster swim bottom with front cutouts at the straps. Hi-cut legs. Minimal seat coverage. Recycled nylon/Lycra spandex. Made in USA. Top sold separately.",Bergdorf Goodman,Neutra Hipster Bikini Swim Bottom,86,Neutra Hipster Bikini Swim Bottom,,"{women_swimwear,men_swimwear}",,,,
Culinaire,"Spanakopita appetizers. Serves 8. 4 ounce servings. Bake from frozen at 350F for about 25 to 30 minutes, or until the pastry is golden brown. An internal temperature of 158F must be reached. Made in the USA.",Bergdorf Goodman,"Spanakopitas, Set of 8",80,"Spanakopitas, Set of 8",,"{women_clothing,women_all,women_activewear,men_accessory,men_all,men_scarves}",,,,
Josie,Josie Washed Satin Embroidered Wrap-Women,Bloomingdale's,Josie Washed Satin Embroidered Wrap,78,Josie Washed Satin Embroidered Wrap,40.95,"{women_clothing,women_all,women_intimates}",,,,
Kate Spade New York,Drift off into dreamland in charming PJs that pair a button-front shirt with relaxed shorts. Style Name: Kate Spade New York Short Pajamas. Style Number: 5812907. Available in stores.,NORDSTROM,Women's Kate Spade New York Short Pajamas,78,Women's Kate Spade New York Short Pajamas,78,"{women_clothing,women_all,women_intimates}",,,,
CALPAK,"Whipstitched trim accentuates the rounded silhouette of a versatile backpack crafted from durable scratch-resistant faux leather. The spacious interior and ample pockets help keep essentials neatly organized, while an exterior sleeve slips over telescoping handles when you're making your way across the concourse or across town. Style Name: Calpak Kaya Faux Leather Round Backpack. Style Number: 5605079. Available in stores.",NORDSTROM,Calpak Kaya Faux Leather Round Backpack - Green,75,Calpak Kaya Faux Leather Round Backpack - Green,63.75,"{women_bag,women_all,women_backpacks}",,,,
BLANKNYC,"Ladylike with an edge, this A-line midi skirt is made from supple faux leather and polished with shiny snaps. Style Name: Blanknyc Snap Front Faux Leather Midi Skirt. Style Number: 5881031. Available in stores.",NORDSTROM,Women's Blanknyc Snap Front Faux Leather Midi Skirt,88,Women's Blanknyc Snap Front Faux Leather Midi Skirt,88,"{women_clothing,women_all,women_skirts}",,,,
Wildfox,"Every closet needs this easy long-sleeve top, boasting a flattering V-neck and slouchy fit. Style Name: Wildfox Baggy Beach V-Neck Top. Style Number: 5734458 1. Available in stores.",NORDSTROM,Wildfox Baggy Beach V-Neck Sweatshirt,88,Wildfox Baggy Beach V-Neck Sweatshirt,66,"{women_clothing,women_all,women_tops}",,,,
Topshop,A cropped raw hem puts a fresh spin on retro straight-leg jeans cut from stretch denim with a classic sanded indigo wash. Style Name: Topshop Crop Raw Hem Straight Leg Jeans. Style Number: 5941214. Available in stores.,NORDSTROM,Women's Topshop Crop Raw Hem Straight Leg Jeans,75,Women's Topshop Crop Raw Hem Straight Leg Jeans,75,"{women_clothing,women_all,women_jeans}",,,,
True Religion,White puff prints outline a classic graphic T-shirt designed with True Religion's horseshoe logo at the chest and Buddha strumming away on the back. Style Name: True Religion Brand Jeans Chevron Buddha Puff Print Shirt. Style Number: 5815508. Available in stores.,NORDSTROM,Men's True Religion Brand Jeans Chevron Buddha Puff Print Shirt,79,Men's True Religion Brand Jeans Chevron Buddha Puff Print Shirt,79,"{men_clothing,men_all,men_tops}",,,,
Kate Spade New York,"Hail some serious cool points in this soft, drapey scarf across which yellow cabs dart and fly. Style Name: Kate Spade New York Taxi Scarf. Style Number: 5709088. Available in stores.",NORDSTROM,Women's Kate Spade New York Taxi Scarf,88,Women's Kate Spade New York Taxi Scarf,88,"{women_all,women_accessory,women_scarves}",,,,
Topman,"Classic Fitelasticated Waistband With Drawcordthree Pocketstape Detailing81% Polyester, 19% Viscosemachine Washable",Topman US,Mens Burgundy Side Tape Shorts,70,Mens Burgundy Side Tape Shorts,42,"{men_clothing,men_all,men_shorts}",,,,
Anne Klein,A fitted cut shapes this sleeveless blouse styled with a sweet Peter Pan collar and shirttail hem. Style Name: Anne Klein Button Front Sleeveless Blouse. Style Number: 5883977 1. Available in stores.,NORDSTROM,Women's Anne Klein Button Front Sleeveless Blouse,69,Women's Anne Klein Button Front Sleeveless Blouse,69,"{women_clothing,women_all,women_tops}",,,,
Forzieri,Fozieri's stately gold-plated button covers make the humble shirt button ready for the most exclusive occasions. A black center with center crystal adds sophisticated class. Signature box included. Made in Italy.,FORZIERI,"Forzieri Designer Button Covers, Gold-Plated Crystal Button Covers",88,"Forzieri Designer Button Covers, Gold-Plated Crystal Button Covers",,"{men_accessory,men_all,men_jewelry}",,,,
VERO MODA,Vero Moda Wanda Button-Front Cotton Midi Dress-Women,Bloomingdale's,Vero Moda Wanda Button-Front Cotton Midi Dress,69,Vero Moda Wanda Button-Front Cotton Midi Dress,,"{women_clothing,women_dresses,women_all}",,,,
Franco Sarto,"Oversized grommets modernize a sleek thong sandal set on a stacked, barely there wedge. Style Name: Franco Sarto 'Grip' Sandal. Style Number: 624679. Available in stores.",NORDSTROM,Women's Franco Sarto 'Grip' Sandal,68.95,Women's Franco Sarto 'Grip' Sandal,68.95,"{women_shoe,women_all,women_sandals}",,,,
Thread & Supply,Bundle up in the cozy comfort of this classic quilted puffer all season long. Style Name: Thread & Supply Puffer Jacket. Style Number: 5937009 1. Available in stores.,NORDSTROM,Women's Thread & Supply Puffer Jacket,75,Women's Thread & Supply Puffer Jacket,44.98,"{women_clothing,women_all,women_coats_and_jackets}",,,,
Karl Lagerfeld,"Red and black cotton K/logo baseball cap from Karl Lagerfeld featuring a round top, a visor, an adjustable fit and an embroidered logo to the front.",Farfetch,Karl Lagerfeld - K/logo baseball cap - women - Cotton - One Size - Red,70,Karl Lagerfeld - K/logo baseball cap - women - Cotton - One Size - Red,66,"{women_accessory,women_all,women_hats}",,,,
Topshop,An ultra-high waist and houndstooth pattern maximize the retro vibes of these perfectly cropped trousers that taper toward the hems. Style Name: Topshop Houndstooth Crop Trousers. Style Number: 5967292. Available in stores.,NORDSTROM,Women's Topshop Houndstooth Crop Trousers,68,Women's Topshop Houndstooth Crop Trousers,68,"{women_clothing,women_all,women_pants}",,,,
Polo Ralph Lauren,Polo Ralph Lauren Traveler Tropical-Print Swim Shorts-Men,Bloomingdale's,Polo Ralph Lauren Traveler Tropical-Print Swim Shorts,85,Polo Ralph Lauren Traveler Tropical-Print Swim Shorts,25.5,"{men_clothing,men_all,men_swimwear}",,,,
Astr The Label,Wrap styling amplifies the casual sophistication of this sleeveless jumpsuit. Style Name: Astr The Label Side Tie Jumpsuit. Style Number: 5704778. Available in stores.,NORDSTROM,Women's Astr The Label Side Tie Jumpsuit,89,Women's Astr The Label Side Tie Jumpsuit,89,"{women_clothing,women_all,women_rompers}",,,,
Mini Rodini,"Red organic cotton spaniels print ruffled dress from MINI RODINI featuring a crew neck, a back button fastening and long sleeves.",Farfetch,Mini Rodini - spaniels print ruffled dress - kids - Organic Cotton - 18 mth - Red,89,Mini Rodini - spaniels print ruffled dress - kids - Organic Cotton - 18 mth - Red,76,"{women_clothing,women_all,women_dresses,men_clothing,men_all,men_sweater}",,,,
Nadri,"Nadri Breeze Pendant Necklace, 16-Jewelry & Accessories",Bloomingdale's,"Nadri Breeze Pendant Necklace, 16",70,"Nadri Breeze Pendant Necklace, 16",,"{women_accessory,women_all,women_necklaces}",,,,
Dr. Dennis Gross,"Ferulic Acid + Retinol Brightening Solution is an age-fighting serum that's truly nature inspired. It's formulated with antioxidant ferulic acid, sourced from cherries, fennel and artichokes to treat dark spots, fine lines and wrinkles. The quick-absorb serum also calls on clinical-strength retinol to tackle signs of aging on the face, immediately revealing brighter and younger-looking skin. How to use: Use daily, AM and PM, on the face, neck",NORDSTROM,Dr. Dennis Gross Skincare Ferulic Acid + Retinol Brightening Solution,88,Dr. Dennis Gross Skincare Ferulic Acid + Retinol Brightening Solution,88,"{women_clothing,women_sweater,women_all}",,,,
Agolde,"White cotton blend scoop neck bodysuit  from AGOLDE featuring short sleeves, a stretch fit, snap closure poppers running along the seat and a logo tag.",Farfetch,AGOLDE - scoop neck bodysuit  - women - Spandex/Elastane/Micromodal/Supima Cotton - XS - White,78,AGOLDE - scoop neck bodysuit  - women - Spandex/Elastane/Micromodal/Supima Cotton - XS - White,55,,,,,
Laura Lombardi,Add a flash of polish to your everyday look with dramatic hoop earrings done in shining brass. Style Name: Laura Lombardi Extra-Large Classic Hoop Earrings. Style Number: 5696054. Available in stores.,NORDSTROM,Women's Laura Lombardi Extra-Large Classic Hoop Earrings,68,Women's Laura Lombardi Extra-Large Classic Hoop Earrings,68,"{women_accessory,women_all,women_earrings}",,,,
FILA,"Blue cotton bleached colour block hoodie from Fila featuring a drawstring hood, long sleeves, elasticated cuffs, a cropped length, raw edges and a bleached effect.",Farfetch,Fila - bleached colour block hoodie - women - Cotton/Polyester - L - Blue,79,Fila - bleached colour block hoodie - women - Cotton/Polyester - L - Blue,79,,,,,
Splendid,"A slender T-strap climbs the front of a simple thong sandal that buckles at the heel and rises demurely on a curvy, tapered wedge. Style Name: Splendid Swain T-Strap Wedge Sandal (Women). Style Number: 5715885. Available in stores.",NORDSTROM,"Women's Splendid Swain T-Strap Wedge Sandal, Size 7 M - Metallic",78.95,"Women's Splendid Swain T-Strap Wedge Sandal, Size 7 M - Metallic",46.8,"{women_shoe,women_all,women_sandals}",,,,
Estelle,"Sunny days indicate stripes season has begun, and this tie-front top has plenty of them. Style Name: Estelle Tash Tie Front Blouse (Plus Size). Style Number: 5848830. Available in stores.",NORDSTROM,Plus Size Women's Estelle Tash Tie Front Blouse,79,Plus Size Women's Estelle Tash Tie Front Blouse,79,"{women_clothing,women_all,women_tops}",,,,
Commando,Raw-cut edges and an elastic-free design ensure an invisible fit in Commando's skort slip cut from luxe Italian microfiber jersey. Style Name: Comando Classic Control Skort. Style Number: 5767643 1. Available in stores.,NORDSTROM,Women's Comando Classic Control Skort,74,Women's Comando Classic Control Skort,74,"{women_clothing,women_all,women_shorts}",,,,
Jag Jeans,"Cut from supersoft stretch twill, these cropped pants are what to wear for sunny-day strolls. Style Name: Jag Jeans Flora Crop Pants (Regular & Petite). Style Number: 5730951 1. Available in stores.",NORDSTROM,Women's Jag Jeans Flora Crop Pants,84,Women's Jag Jeans Flora Crop Pants,84,"{women_clothing,women_all,women_pants}",,,,
Florence Eiseman,"Florence Eiseman stripe knit coverall. Helicopter embroidery at chest and back. Contrast tipping on ribbed collar, cuffs, and ankles. Crew neckline; snaps at left shoulder. Long sleeves. Zips through legs. Cotton/polyester. Made in Peru.",Bergdorf Goodman,"Stripe Knit Helicopter Embroidered Coverall, Size 3-24 Months",76,"Stripe Knit Helicopter Embroidered Coverall, Size 3-24 Months",,"{men_clothing,men_all,men_sweatshirts}",,,,
Little Marc Jacobs,"Black cotton spectrum logo sweatshirt from LITTLE MARC JACOBS featuring a ribbed crew neck, long sleeves, a relaxed fit, a ribbed hem and cuffs and a multicoloured print.",Farfetch,"Little Marc Jacobs - spectrum logo sweatshirt - kids - Cotton - 6, 8, 4, 5, 2, 3, 10 - Black",87,"Little Marc Jacobs - spectrum logo sweatshirt - kids - Cotton - 6, 8, 4, 5, 2, 3, 10 - Black",61,"{women_clothing,women_all,women_sweatshirts,men_clothing,men_all,men_sweatshirts}",,,,
Vans,"Red and white checked  Authentic 44 DX sneakers from Vans featuring a front lace up detail, a classic check pattern and a branded insole.",Farfetch,"Vans - checked  Authentic 44 DX sneakers - unisex - Cotton/Rubber - 8, 9, 10, 12 - Red",87,"Vans - checked  Authentic 44 DX sneakers - unisex - Cotton/Rubber - 8, 9, 10, 12 - Red",87,,,,,
MAC Cosmetics,"What It Is: Mesmerizing mini Lipsticks, all dressed up for a wild night out. Steal kisses at the party in a kit of 10 crowd-favorite little Lipsticks, each in color-matched special deco. All are candy-wrapped in a Shiny Pretty pink metallic box. Set Includes: - Mini Lipstick in Diva (intense reddish burgundy, matte finish) - Mini Lipstick in Chili (brownish orange-red, matte finish) - Mini Lipstick in See Sheer (grapefruit pink, lustre finish) - Mini Lipstick in Velvet Teddy (deep-tone beige, ma",Bloomingdale's,MAC Shiny Pretty Things Mini Lipstick Gift Set ($100 value),79.5,MAC Shiny Pretty Things Mini Lipstick Gift Set ($100 value),,"{women_clothing,women_all,women_dresses}",,,,
Seafolly,Go a little wild for your mid-season getaway with this tube-style bikini top flaunting an animal-spotted print in a choice of vibrant colors. Removable straps give you the option of a more supportive fit. Style Name: Seafolly Animal Print Tube Bikini Top. Style Number: 5951367 1. Available in stores.,NORDSTROM,Women's Seafolly Animal Print Tube Bikini Top,78,Women's Seafolly Animal Print Tube Bikini Top,73.49,"{women_clothing,women_all,women_swimwear}",,,,
Golden Door,"Golden Door Moisture-Rich Serum, 1.7 oz./ 50 mL DetailsThis emollient- and antioxidant-rich serum protects, repairs, and improves the over-all tone and appearance of normal-to-dry, dry and dehydrated skin. Essential nutrients are delivered deep into the dermis dramatically improving texture, smoothness, elasticity and firmness after only 4 weeks when used twice daily. How to Use: Apply a small amount daily, morning and evening, to cleansed and toned face, neck and dcollet. 1.7 oz./ 50 mL Desi.",Bergdorf Goodman,"Moisture-Rich Serum, 1.7 oz./ 50 mL",88,"Moisture-Rich Serum, 1.7 oz./ 50 mL",,"{women_clothing,women_sweater,women_all}",,,,
Moschino Kids,"White cotton logo print sweatshirt from Moschino Kids featuring a ribbed round neck, long sleeves, a ribbed hem and cuffs and a back button fastening.",Farfetch,"Moschino Kids - logo print sweatshirt - kids - Cotton - 3-6, 6-9, 9-12, 12-18, 18-24, 2, 3 - White",75,"Moschino Kids - logo print sweatshirt - kids - Cotton - 3-6, 6-9, 9-12, 12-18, 18-24, 2, 3 - White",75,"{women_clothing,women_all,women_sweatshirts,men_clothing,men_all,men_sweatshirts}",,,,
Bosca,"Richly tumbled, hand-stained Italian leather shapes a slim card case built for versatile convenience. Style Name: Bosca Leather Card Case. Style Number: 1142347 1. Available in stores.",NORDSTROM,Men's Bosca Leather Card Case -,85,Men's Bosca Leather Card Case -,45,"{men_bag,men_all,men_wallets}",,,,
The Men's Store At Bloomingdale's,The Men's Store at Bloomingdale's Diagonal Striped Scarf - 100% Exclusive-Men,Bloomingdale's,The Men's Store at Bloomingdale's Diagonal Striped Scarf - 100% Exclusive,68,The Men's Store at Bloomingdale's Diagonal Striped Scarf - 100% Exclusive,,"{men_accessory,men_all,men_scarves}",,,,
The Men's Store At Bloomingdale's,The Men's Store at Bloomingdale's Leather Toiletry Kit - 100% Exclusive-Men,Bloomingdale's,The Men's Store at Bloomingdale's Leather Toiletry Kit - 100% Exclusive,75,The Men's Store at Bloomingdale's Leather Toiletry Kit - 100% Exclusive,,"{men_luggage,men_bag,men_all,women_luggage,women_bag,women_all,luggage}",,,,
Surya,See the fabric in person to help you decide.,Bloomingdale's,"Surya Bohemian 2301 Rug Swatch, 18 x 18",87,"Surya Bohemian 2301 Rug Swatch, 18 x 18",65.25,"{men_accessory,men_all,men_ties,men_luggage,men_bag,men_all,women_luggage,women_bag,women_all,luggage}",,,,
Bonobos,Show you're crazy about dinos in a grown-up way with this cotton sport shirt covered in a stegosaurus print. Style Name: Bonobos Slim Fit Dinosaur Button-Down Washed Cotton Shirt. Style Number: 5901822. Available in stores.,NORDSTROM,Men's Bonobos Slim Fit Dinosaur Button-Down Washed Cotton Shirt,78,Men's Bonobos Slim Fit Dinosaur Button-Down Washed Cotton Shirt,78,"{men_clothing,men_all,men_shirts}",,,,
Maaji,Maaji Sun Bass Samba Triangle Bikini Top-Women,Bloomingdale's,Maaji Sun Bass Samba Triangle Bikini Top,72,Maaji Sun Bass Samba Triangle Bikini Top,57.6,"{women_clothing,women_all,women_swimwear}",,,,
Saint Laurent,"Yves Saint Laurent Beaute La Nuit De L'Homme L'Intense Eau de Parfum, 2.0 oz./ 60 mL DetailsSeduction takes on a new shade with La Nuit De L'Homme L'Intense by Yves Saint Laurent, a new fragrance for men. The ultimate sophistication, housed in a bottle which combines the red intensity of seduction with the elegant black of night. Sage and violet are blended with a vertiginous blast of iris concrete, combined with the Oriental signature of the original La Nuit De L'Homme; vanilla, patchouli an.",Bergdorf Goodman,"La Nuit De L'Homme L'Intense Eau de Parfum, 2.0 oz./ 60 mL",80,"La Nuit De L'Homme L'Intense Eau de Parfum, 2.0 oz./ 60 mL",,"{women_all,women_clothing,women_activewear}",,,,
Splendid,Splendid Going Coastal Bikini Top-Women,Bloomingdale's,Splendid Going Coastal Bikini Top,78,Splendid Going Coastal Bikini Top,,"{women_clothing,women_all,women_swimwear}",,,,
Aqua,Aqua Neon Leopard-Print Romper - 100% Exclusive (Clearance),Bloomingdale's,Aqua Neon Leopard-Print Romper - 100% Exclusive,88,Aqua Neon Leopard-Print Romper - 100% Exclusive,44,"{women_clothing,women_all,women_rompers}",,,,
The North Face,The North Face x Brain Dead Logos Tee Cream,StockX,The North Face x Brain Dead Logos Tee Cream,80,The North Face x Brain Dead Logos Tee Cream,,"{men_clothing,men_all,men_tops}",,,,
Standards & Practices,This airy cropped jacket is styled with polished notch lapels and a drapey tie front. Style Name: Standards & Practices Tie Front Jacket (Plus Size). Style Number: 5817899. Available in stores.,NORDSTROM,Plus Size Women's Standards & Practices Tie Front Jacket,88,Plus Size Women's Standards & Practices Tie Front Jacket,88,"{women_all,women_coats_and_jackets,women_clothing}",,,,
Madewell,"Made of wonderfully soft fleece, this retro-striped sweatshirt is sure to be an instant favorite. Style Name: Madewell Retro Ringer Sweatshirt. Style Number: 5897908. Available in stores.",NORDSTROM,Women's Madewell Retro Ringer Sweatshirt,69.5,Women's Madewell Retro Ringer Sweatshirt,55.6,"{women_clothing,women_all,women_sweatshirts}",,,,
Juliska,"We worked closely with Juliska to perfect just the right shade of rich, dramatic blue for the Bloomingdale's exclusive Le Panier Blue collection. Textural, hand-painted braid details and weighty, substantial stoneware give each piece enduring warmth and nautical-inspired style. The stylish rectangular platter is ideal for both baking and serving.",Bergdorf Goodman,Le Panier White/Delft Blue Platter,85,Le Panier White/Delft Blue Platter,,"{men_luggage,men_bag,men_all,women_luggage,women_bag,women_all,luggage,women_accessory,women_all,women_scarves,men_clothing,men_all,men_sweatshirts}",,,,
Diesel,"Pioneers of denim and change, Diesel has evolved into a premium casual wear brand offering a wide ranging edit with a signature streetwear aesthetic still at its core. This black calf leather cracked effect belt from Diesel features antique effect silver-tone hardware, punch hole detailing, a pointed tip and an embossed buckle.",Farfetch,"Diesel - cracked effect belt - women - Calf Leather - 85, 80, 90 - Black",68,"Diesel - cracked effect belt - women - Calf Leather - 85, 80, 90 - Black",55,,,,,
Aqua,Zadig & Voltaire x Aqua Amour Sweatshirt - 100% Exclusive-Women,Bloomingdale's,Zadig & Voltaire x Aqua Amour Sweatshirt - 100% Exclusive,88,Zadig & Voltaire x Aqua Amour Sweatshirt - 100% Exclusive,,"{women_clothing,women_all,women_sweatshirts}",,,,
BCBGeneration,"Inspired by the boys, but made for you. This fitted, menswear-inspired crop top features a deep V-neck, a pointed hemline, and a self-tie closure at back. Decorative welt pocket at front Concealed zip closure at back 100% polyester; Lining: 100% polyester crepe de chine Machine wash Imported BCBGeneration Deep V Crop Top. BCBG Group.",Bloomingdale's,BCBGeneration Deep V Crop Top,78,BCBGeneration Deep V Crop Top,,"{women_clothing,women_all,women_tops}",,,,
Chelsea28,"This smooth, satiny skirt flaunts a tonal animal jacquard that's chic from day to night. Style Name: Chelsea28 Bias Jacquard Skirt. Style Number: 5882204. Available in stores.",NORDSTROM,Women's Chelsea28 Bias Jacquard Skirt,69,Women's Chelsea28 Bias Jacquard Skirt,69,"{women_clothing,women_all,women_skirts}",,,,
Brixton,Any outfit looks instantly put-together when you top it off with this wide-brim felt hat trimmed in tonal grosgrain. Style Name: Brixton Joanna Iii Wool Felt Hat. Style Number: 5839393. Available in stores.,NORDSTROM,Women's Brixton Joanna Iii Wool Felt Hat - Pink,88,Women's Brixton Joanna Iii Wool Felt Hat - Pink,52.8,"{women_accessory,women_all,women_hats}",,,,
Free People,A wide leg and see-through lacy bits make wearing these free-flowing pants as much fun as spending the day in your PJs. Style Name: Free People Maddie Sleep Pants. Style Number: 5932750 1. Available in stores.,NORDSTROM,Free People Maddie Lace-Trim Pants,88,Free People Maddie Lace-Trim Pants,88,"{women_clothing,women_all,women_pants}",,,,
Etro,Blue cotton striped paisley socks from Etro featuring a paisley pattern and a striped pattern. Socks and Hosiery must be returned in its original unopened packaging.,Farfetch,Etro - striped paisley socks - men - Cotton/Polyamide - I - Blue,75,Etro - striped paisley socks - men - Cotton/Polyamide - I - Blue,75,"{men_clothing,men_all,men_intimates}",,,,
Tommy Hilfiger,Vibrant piping brings eye-catching contrast to this cozy sweater made from soft cotton. Style Name: Tommy Hilfiger Crewneck Sweater. Style Number: 5866145. Available in stores.,NORDSTROM,Women's Tommy Hilfiger Crewneck Sweater,69,Women's Tommy Hilfiger Crewneck Sweater,69,"{women_clothing,women_all,women_sweater}",,,,
Diesel,"Revive your casual wear with Diesel’s streetwear-inspired staples. Made from leather, this belt is detailed with debossed logo lettering. It fastens with a square metal buckle.",Farfetch,"Diesel - debossed logo belt - men - Leather - 85, 90, 95, 100, 105, 80 - Black",68,"Diesel - debossed logo belt - men - Leather - 85, 90, 95, 100, 105, 80 - Black",41,,,,,
